,label,predicted
1202,79.0,81.53190019256859
1190,79.17,81.37839302168734
305,83.75,82.33757784314425
107,84.92,82.38542465329294
994,81.08,81.42809487095687
967,81.25,82.29304749658657
599,82.75,81.5136282252298
130,84.67,82.20769190945174
1099,80.25,81.8283758431514
919,81.5,81.84290493228909
1149,79.75,82.03310140423679
1036,80.83,82.72373716392585
19,87.25,83.74300648525849
979,81.17,81.84204355417785
1072,80.5,82.15711147101345
90,85.08,83.89685080390403
852,81.83,82.11257692293545
84,85.25,82.2631541970679
622,82.67,82.65886363461298
679,82.42,82.5533763570242
386,83.42,82.38542465329294
465,83.17,81.14311718176887
948,81.42,82.51304953889814
280,83.83,81.87336927890817
1043,80.75,81.49496268211719
863,81.75,81.27918757616101
903,81.58,81.9247087023064
636,82.58,82.07279117006992
543,82.92,82.44007818516059
1091,80.33,81.6685696415272
459,83.17,81.37201504436358
898,81.58,81.8124848835195
312,83.75,82.67789203498928
96,85.0,82.67107762166266
395,83.38,81.93348845846099
349,83.58,82.66131517451892
506,83.0,82.20192675310935
189,84.33,83.41187197247218
1022,80.92,82.06740723607989
535,82.92,82.2714515645092
991,81.08,81.8306784709253
109,84.92,82.32407729280145
131,84.67,83.63712036860856
51,86.0,82.65359956657154
1024,80.92,81.9265870449768
682,82.42,82.3297893637593
1279,75.17,81.40288569674107
1209,78.75,81.34878288149761
35,86.25,82.57417254915424
118,84.83,83.89519628156779
615,82.67,82.34433528407743
944,81.42,81.9247087023064
1168,79.58,81.95984492021238
1010,81.0,82.1601144755608
924,81.5,81.67631656722938
224,84.17,82.18025421615043
458,83.17,81.60578043120958
204,84.25,82.60231607929433
999,81.0,82.14828638504714
920,81.5,82.23822000502568
757,82.17,81.78280549237398
406,83.33,81.96273597961894
277,83.83,82.0738829081755
1151,79.75,81.50571850189858
789,82.08,81.4916600994464
221,84.17,81.87898421930743
61,85.75,82.47959018126103
441,83.17,82.4035268753158
534,82.92,82.1186762448574
1263,76.42,81.3580654177436
150,84.58,82.43477245618756
1105,80.17,82.3054772145578
980,81.17,81.96273597961894
89,85.08,82.78920236955776
1159,79.67,82.05445996869771
554,82.92,82.13269509085511
1177,79.33,81.9994618763242
541,82.92,81.64397649298591
1068,80.5,82.26850723902679
795,82.0,81.74723589566297
804,82.0,81.40131522564167
429,83.25,81.57574795511185
175,84.42,81.84290493228909
551,82.92,81.99460895831834
1234,78.08,81.47018987738598
846,81.83,82.00191451998087
92,85.08,82.66131517451892
631,82.67,82.68498186987954
1095,80.25,81.35762150901498
42,86.17,82.33053124039641
25,86.92,82.09332123857824
1289,74.0,81.14671676707037
709,82.33,82.57455675477271
1135,79.92,81.5972356384274
1042,80.75,82.37879817902979
344,83.58,82.07480718960564
235,84.08,82.77393433841398
147,84.58,82.67121452789851
359,83.5,83.90697490121065
110,84.92,82.60231607929433
1142,79.83,81.42809487095687
162,84.5,82.55965640504624
768,82.17,81.53523433197027
842,81.83,81.1162384652811
50,86.0,83.82633989393617
935,81.42,81.85266595057075
158,84.5,82.12063203970618
208,84.25,81.76727862286698
